"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1592014115",3,0,0.00,0.00,15,74,15,193.63,19220.67,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1592014117",9,0,0.00,0.00,23,94,11,283.81,24796.00,67,67,220,220,280,280,280,280,280,280,280,280
"None","Aggregated","1592014119",15,0,3.00,0.00,39,111,10,351.77,21401.07,67,69,280,280,320,350,350,350,350,350,350,350
"None","Aggregated","1592014121",21,0,3.00,0.00,68,133,10,440.17,22886.57,69,88,280,320,420,440,440,440,440,440,440,440
"None","Aggregated","1592014123",28,0,3.00,0.00,68,388,10,6872.02,143261.86,69,220,320,390,440,510,6900,6900,6900,6900,6900,6900
"None","Aggregated","1592014125",34,0,3.12,0.00,69,358,10,6872.02,122848.06,88,280,390,420,510,520,6900,6900,6900,6900,6900,6900
"None","Aggregated","1592014127",40,0,3.10,0.00,81,341,10,6872.02,105951.45,91,350,440,470,570,580,6900,6900,6900,6900,6900,6900
"None","Aggregated","1592014129",46,0,3.10,0.00,88,328,10,6872.02,93462.65,93,390,510,510,570,580,6900,6900,6900,6900,6900,6900
"None","Aggregated","1592014131",49,0,3.10,0.00,91,330,10,6872.02,90059.35,110,230,510,520,570,580,740,740,740,740,740,740
"None","Aggregated","1592014133",49,0,3.10,0.00,91,330,10,6872.02,90059.35,110,230,520,560,580,740,740,740,740,740,740,740
"None","Aggregated","1592014135",50,0,2.40,0.00,91,705,10,19077.37,156556.88,130,510,560,570,740,19000,19000,19000,19000,19000,19000,19000
"None","Aggregated","1592014137",50,0,2.40,0.00,91,705,10,19077.37,156556.88,230,560,740,740,19000,19000,19000,19000,19000,19000,19000,19000
"None","Aggregated","1592014139",50,0,2.40,0.00,91,705,10,19077.37,156556.88,740,740,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
"None","Aggregated","1592014141",50,0,2.40,0.00,91,705,10,19077.37,156556.88,740,740,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
"None","Aggregated","1592014143",52,0,0.10,0.00,91,1450,10,20159.80,151152.62,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"None","Aggregated","1592014145",53,0,0.20,0.00,93,1424,10,20159.80,148371.34,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"None","Aggregated","1592014147",53,0,0.20,0.00,93,1424,10,20159.80,148371.34,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"None","Aggregated","1592014149",53,0,0.20,0.00,93,1424,10,20159.80,148371.34,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"None","Aggregated","1592014151",56,0,0.30,0.00,97,2727,10,33059.42,202099.34,22000,22000,23000,23000,33000,33000,33000,33000,33000,33000,33000,33000
"None","Aggregated","1592014153",56,0,0.30,0.00,97,2727,10,33059.42,202099.34,23000,23000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
"None","Aggregated","1592014155",56,0,0.30,0.00,97,2727,10,33059.42,202099.34,23000,23000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
"None","Aggregated","1592014157",56,0,0.30,0.00,97,2727,10,33059.42,202099.34,23000,23000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
"None","Aggregated","1592014159",56,0,0.30,0.00,97,2727,10,33059.42,202099.34,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
"None","Aggregated","1592014161",56,0,0.30,0.00,97,2727,10,33059.42,202099.34,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
"None","Aggregated","1592014163",56,0,0.30,0.00,97,2727,10,33059.42,202099.34,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
"None","Aggregated","1592014165",56,0,0.30,0.00,97,2727,10,33059.42,202099.34,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
"None","Aggregated","1592014167",57,0,0.00,0.00,110,3412,10,41780.29,258464.89,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
"None","Aggregated","1592014169",59,0,0.00,0.00,120,4405,10,41780.29,307971.83,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
"None","Aggregated","1592014171",59,0,0.00,0.00,120,4405,10,41780.29,307971.83,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
"None","Aggregated","1592014173",60,0,0.30,0.00,120,5040,10,42501.57,359868.80,42000,42000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
"None","Aggregated","1592014175",60,0,0.30,0.00,120,5040,10,42501.57,359868.80,42000,42000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
"None","Aggregated","1592014177",60,0,0.30,0.00,120,5040,10,42501.57,359868.80,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
"None","Aggregated","1592014179",61,0,0.40,0.00,130,5961,10,61194.91,582023.15,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
"None","Aggregated","1592014181",61,0,0.40,0.00,130,5961,10,61194.91,582023.15,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
"None","Aggregated","1592014183",61,0,0.40,0.00,130,5961,10,61194.91,582023.15,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000
"None","Aggregated","1592014185",62,0,0.20,0.00,130,6896,10,63942.16,797011.23,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
"None","Aggregated","1592014187",63,0,0.20,0.00,130,7777,10,63942.16,1007261.84,62000,62000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
"None","Aggregated","1592014189",64,0,0.20,0.00,130,8567,10,63942.16,1210942.12,62000,62000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
"None","Aggregated","1592014191",64,0,0.20,0.00,130,8567,10,63942.16,1210942.12,62000,62000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
"None","Aggregated","1592014193",64,0,0.20,0.00,130,8567,10,63942.16,1210942.12,62000,62000,64000,64000,64000,64000,64000,64000,64000,64000,64000,64000
"None","Aggregated","1592014195",64,0,0.20,0.00,130,8567,10,63942.16,1210942.12,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000
"None","Aggregated","1592014197",66,0,0.20,0.00,190,10641,10,77785.94,1183863.45,76000,76000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
"None","Aggregated","1592014199",66,0,0.20,0.00,190,10641,10,77785.94,1183863.45,76000,76000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
"None","Aggregated","1592014201",66,0,0.20,0.00,190,10641,10,77785.94,1183863.45,76000,76000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
"None","Aggregated","1592014203",66,0,0.20,0.00,190,10641,10,77785.94,1183863.45,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
"None","Aggregated","1592014205",66,0,0.20,0.00,190,10641,10,77785.94,1183863.45,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
"None","Aggregated","1592014207",66,0,0.20,0.00,190,10641,10,77785.94,1183863.45,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000
"None","Aggregated","1592014209",66,0,0.20,0.00,190,10641,10,77785.94,1183863.45,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000
"None","Aggregated","1592014211",66,0,0.20,0.00,190,10641,10,77785.94,1183863.45,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000,76000
