"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",32,0,130,132,4,321,3079,0.05,0.00,130,180,200,210,250,300,320,320,320,320,320,320
"POST","/",32,0,670,773,192,2137,2524,0.05,0.00,800,970,1100,1100,1200,1400,2100,2100,2100,2100,2100,2100
"GET","/analysis.html",6,0,180,291,51,642,52059,0.01,0.00,390,390,420,420,640,640,640,640,640,640,640,640
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",4,0,3500,39996,3064,96010,6914762,0.01,0.00,57000,57000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",2,0,95000,94870,94614,95126,3512018,0.00,0.00,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000
"GET","/compare.html",9,0,72,167,28,558,108023,0.02,0.00,72,160,180,410,560,560,560,560,560,560,560,560
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",5,0,131000,107798,6438,138200,13911284,0.01,0.00,131000,135000,135000,138000,138000,138000,138000,138000,138000,138000,138000,138000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,0,6368,6368,6368,6368,14042800,0.00,0.00,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,0,7200,50763,6385,138751,2422313,0.01,0.00,7200,7200,139000,139000,139000,139000,139000,139000,139000,139000,139000,139000
"GET","/measure.html",15,0,86,148,19,806,46273,0.03,0.00,86,110,150,270,310,810,810,810,810,810,810,810
"POST","/measureResults.html",15,0,75000,55806,3142,96856,2543247,0.03,0.00,75000,82000,85000,94000,97000,97000,97000,97000,97000,97000,97000,97000
"GET","/movers.html",8,0,19,64,3,159,3745,0.01,0.00,47,120,160,160,160,160,160,160,160,160,160,160
"POST","/moversResult.html",8,0,27000,44122,18553,72381,16034,0.01,0.00,51000,69000,71000,71000,72000,72000,72000,72000,72000,72000,72000,72000
"GET","/prediction.html",8,0,190,185,15,326,40373,0.01,0.00,230,260,300,300,330,330,330,330,330,330,330,330
"POST","/predictionResult.html",8,0,183000,163440,9730,196165,339329,0.01,0.00,185000,189000,190000,190000,196000,196000,196000,196000,196000,196000,196000,196000
"None","Aggregated",156,0,340,22958,3,196165,1083665,0.27,0.00,380,1100,6400,25000,95000,139000,185000,190000,196000,196000,196000,196000
